DZcode,DZname,LAcode,LAname,Population,Working_Age_Population
S01006506,Culter - 01,S12000033,Aberdeen City,894,580
S01006507,Culter - 02,S12000033,Aberdeen City,793,470
S01006508,Culter - 03,S12000033,Aberdeen City,624,461
S01006509,Culter - 04,S12000033,Aberdeen City,537,307
S01006510,Culter - 05,S12000033,Aberdeen City,663,415
S01006511,Culter - 06,S12000033,Aberdeen City,759,453
S01006512,Culter - 07,S12000033,Aberdeen City,539,345
S01006513,"Cults, Bieldside and Milltimber West - 01",S12000033,Aberdeen City,788,406
S01006514,"Cults, Bieldside and Milltimber West - 02",S12000033,Aberdeen City,1123,709
S01006515,"Cults, Bieldside and Milltimber West - 03",S12000033,Aberdeen City,816,529
S01006516,"Cults, Bieldside and Milltimber West - 04",S12000033,Aberdeen City,629,419
S01006517,"Cults, Bieldside and Milltimber West - 05",S12000033,Aberdeen City,1052,646
S01006518,"Cults, Bieldside and Milltimber East - 01",S12000033,Aberdeen City,664,370
S01006519,"Cults, Bieldside and Milltimber East - 02",S12000033,Aberdeen City,941,560
S01006520,"Cults, Bieldside and Milltimber East - 03",S12000033,Aberdeen City,875,559
S01006521,"Cults, Bieldside and Milltimber East - 04",S12000033,Aberdeen City,793,512
S01006522,"Cults, Bieldside and Milltimber East - 05",S12000033,Aberdeen City,675,412
S01006523,"Cults, Bieldside and Milltimber East - 06",S12000033,Aberdeen City,957,571
S01006524,"Cults, Bieldside and Milltimber East - 07",S12000033,Aberdeen City,1056,629
S01006525,"Cults, Bieldside and Milltimber East - 08",S12000033,Aberdeen City,904,497
S01006526,Garthdee - 01,S12000033,Aberdeen City,924,670
S01006527,Garthdee - 02,S12000033,Aberdeen City,756,508
S01006528,Garthdee - 03,S12000033,Aberdeen City,1154,829
S01006529,Garthdee - 04,S12000033,Aberdeen City,932,680
S01006530,Garthdee - 05,S12000033,Aberdeen City,785,548
S01006531,Garthdee - 06,S12000033,Aberdeen City,946,655
S01006532,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,793,445
S01006533,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,717,475
S01006534,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,956,625
S01006535,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1046,812
S01006536,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1003,827
S01006537,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,920,497
S01006538,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,548,335
S01006539,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,781,462
S01006540,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,933,633
S01006541,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,864,468
S01006542,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1131,664
S01006543,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,792,453
S01006544,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1283,862
S01006545,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,1120,731
S01006546,"Braeside, Mannofield, Broomhill and Seafiel",S12000033,Aberdeen City,624,387
S01006547,Hazlehead - 01,S12000033,Aberdeen City,1242,752
S01006548,Hazlehead - 02,S12000033,Aberdeen City,658,361
S01006549,Hazlehead - 03,S12000033,Aberdeen City,796,503
S01006550,Hazlehead - 04,S12000033,Aberdeen City,900,508
S01006551,Hazlehead - 05,S12000033,Aberdeen City,704,431
S01006552,Hazlehead - 06,S12000033,Aberdeen City,884,585
S01006553,Summerhill - 01,S12000033,Aberdeen City,903,508
S01006554,Summerhill - 02,S12000033,Aberdeen City,777,491
S01006555,Summerhill - 03,S12000033,Aberdeen City,732,537
S01006556,Summerhill - 04,S12000033,Aberdeen City,804,497
S01006557,Summerhill - 05,S12000033,Aberdeen City,679,425
S01006558,Midstocket - 01,S12000033,Aberdeen City,596,427
S01006559,Midstocket - 02,S12000033,Aberdeen City,601,404
S01006560,Midstocket - 03,S12000033,Aberdeen City,1018,641
S01006561,Midstocket - 04,S12000033,Aberdeen City,728,443
S01006562,Midstocket - 05,S12000033,Aberdeen City,972,612
S01006563,Midstocket - 06,S12000033,Aberdeen City,677,395
S01006564,Rosemount - 01,S12000033,Aberdeen City,1007,791
S01006565,Rosemount - 02,S12000033,Aberdeen City,1000,888
S01006566,Rosemount - 03,S12000033,Aberdeen City,761,618
S01006567,Rosemount - 04,S12000033,Aberdeen City,744,607
S01006568,Rosemount - 05,S12000033,Aberdeen City,921,823
S01006569,Rosemount - 06,S12000033,Aberdeen City,561,444
S01006570,Rosemount - 07,S12000033,Aberdeen City,739,537
S01006571,West End North - 01,S12000033,Aberdeen City,911,635
S01006572,West End North - 02,S12000033,Aberdeen City,957,622
S01006573,West End North - 03,S12000033,Aberdeen City,790,535
S01006574,West End North - 04,S12000033,Aberdeen City,1017,661
S01006575,West End South - 01,S12000033,Aberdeen City,981,697
S01006576,West End South - 02,S12000033,Aberdeen City,730,527
S01006577,West End South - 03,S12000033,Aberdeen City,814,608
S01006578,West End South - 04,S12000033,Aberdeen City,1105,950
S01006579,West End South - 05,S12000033,Aberdeen City,1048,922
S01006580,West End South - 06,S12000033,Aberdeen City,724,585
S01006581,West End South - 07,S12000033,Aberdeen City,949,648
S01006582,City Centre West - 01,S12000033,Aberdeen City,820,705
S01006583,City Centre West - 02,S12000033,Aberdeen City,695,616
S01006584,City Centre West - 03,S12000033,Aberdeen City,612,534
S01006585,City Centre West - 04,S12000033,Aberdeen City,831,651
S01006586,City Centre West - 05,S12000033,Aberdeen City,1049,854
S01006587,City Centre East - 01,S12000033,Aberdeen City,571,500
S01006588,City Centre East - 02,S12000033,Aberdeen City,626,571
S01006589,City Centre East - 03,S12000033,Aberdeen City,680,572
S01006590,City Centre East - 04,S12000033,Aberdeen City,801,718
S01006591,Ferryhill North - 01,S12000033,Aberdeen City,744,622
S01006592,Ferryhill North - 02,S12000033,Aberdeen City,742,649
S01006593,Ferryhill North - 03,S12000033,Aberdeen City,837,694
S01006594,Ferryhill North - 04,S12000033,Aberdeen City,534,369
S01006595,Ferryhill North - 05,S12000033,Aberdeen City,956,808
S01006596,Ferryhill North - 06,S12000033,Aberdeen City,784,568
S01006597,Ferryhill North - 07,S12000033,Aberdeen City,530,467
S01006598,Ferryhill South - 01,S12000033,Aberdeen City,1017,684
S01006599,Ferryhill South - 02,S12000033,Aberdeen City,812,621
S01006600,Ferryhill South - 03,S12000033,Aberdeen City,1238,862
S01006601,Ferryhill South - 04,S12000033,Aberdeen City,1038,801
S01006602,Ferryhill South - 05,S12000033,Aberdeen City,896,572
S01006603,"Kincorth, Leggart and Nigg North - 01",S12000033,Aberdeen City,803,502
S01006604,"Kincorth, Leggart and Nigg North - 02",S12000033,Aberdeen City,653,430
S01006605,"Kincorth, Leggart and Nigg North - 03",S12000033,Aberdeen City,781,480
S01006606,"Kincorth, Leggart and Nigg North - 04",S12000033,Aberdeen City,794,480
S01006607,"Kincorth, Leggart and Nigg North - 05",S12000033,Aberdeen City,919,616
S01006608,"Kincorth, Leggart and Nigg South - 01",S12000033,Aberdeen City,1653,1118
S01006609,"Kincorth, Leggart and Nigg South - 02",S12000033,Aberdeen City,1054,684
S01006610,"Kincorth, Leggart and Nigg South - 03",S12000033,Aberdeen City,431,287
S01006611,"Kincorth, Leggart and Nigg South - 04",S12000033,Aberdeen City,906,609
S01006612,"Kincorth, Leggart and Nigg South - 05",S12000033,Aberdeen City,858,589
S01006613,Cove South - 01,S12000033,Aberdeen City,591,425
S01006614,Cove South - 02,S12000033,Aberdeen City,669,476
S01006615,Cove South - 03,S12000033,Aberdeen City,838,586
S01006616,Cove South - 04,S12000033,Aberdeen City,747,597
S01006617,Cove South - 05,S12000033,Aberdeen City,635,415
S01006618,Cove South - 06,S12000033,Aberdeen City,474,324
S01006619,Cove North - 01,S12000033,Aberdeen City,869,586
S01006620,Cove North - 02,S12000033,Aberdeen City,786,515
S01006621,Cove North - 03,S12000033,Aberdeen City,504,322
S01006622,Cove North - 04,S12000033,Aberdeen City,663,529
S01006623,Cove North - 05,S12000033,Aberdeen City,719,483
S01006624,Torry West - 01,S12000033,Aberdeen City,771,611
S01006625,Torry West - 02,S12000033,Aberdeen City,621,441
S01006626,Torry West - 03,S12000033,Aberdeen City,683,477
S01006627,Torry West - 04,S12000033,Aberdeen City,818,681
S01006628,Torry West - 05,S12000033,Aberdeen City,1055,866
S01006629,Torry West - 06,S12000033,Aberdeen City,872,516
S01006630,Torry West - 07,S12000033,Aberdeen City,652,400
S01006631,Torry East - 01,S12000033,Aberdeen City,1047,666
S01006632,Torry East - 02,S12000033,Aberdeen City,826,569
S01006633,Torry East - 03,S12000033,Aberdeen City,660,434
S01006634,Torry East - 04,S12000033,Aberdeen City,624,423
S01006635,Torry East - 05,S12000033,Aberdeen City,627,418
S01006636,Torry East - 06,S12000033,Aberdeen City,798,502
S01006637,Hanover South - 01,S12000033,Aberdeen City,772,608
S01006638,Hanover South - 02,S12000033,Aberdeen City,779,663
S01006639,Hanover South - 03,S12000033,Aberdeen City,924,702
S01006640,Hanover South - 04,S12000033,Aberdeen City,822,743
S01006641,Hanover North - 01,S12000033,Aberdeen City,1044,888
S01006642,Hanover North - 02,S12000033,Aberdeen City,1299,1184
S01006643,Hanover North - 03,S12000033,Aberdeen City,698,637
S01006644,Hanover North - 04,S12000033,Aberdeen City,1139,1001
S01006645,George Street - 01,S12000033,Aberdeen City,688,512
S01006646,George Street - 02,S12000033,Aberdeen City,861,762
S01006647,George Street - 03,S12000033,Aberdeen City,625,460
S01006648,George Street - 04,S12000033,Aberdeen City,1751,1611
S01006649,George Street - 05,S12000033,Aberdeen City,954,828
S01006650,George Street - 06,S12000033,Aberdeen City,801,680
S01006651,George Street - 07,S12000033,Aberdeen City,677,536
S01006652,George Street - 08,S12000033,Aberdeen City,744,664
S01006653,Ashgrove - 01,S12000033,Aberdeen City,545,427
S01006654,Ashgrove - 02,S12000033,Aberdeen City,877,638
S01006655,Ashgrove - 03,S12000033,Aberdeen City,809,598
S01006656,Ashgrove - 04,S12000033,Aberdeen City,980,815
S01006657,Ashgrove - 05,S12000033,Aberdeen City,525,447
S01006658,"Froghall, Powis and Sunnybank - 01",S12000033,Aberdeen City,1204,1006
S01006659,"Froghall, Powis and Sunnybank - 02",S12000033,Aberdeen City,603,484
S01006660,"Froghall, Powis and Sunnybank - 03",S12000033,Aberdeen City,505,371
S01006661,"Froghall, Powis and Sunnybank - 04",S12000033,Aberdeen City,592,477
S01006662,"Froghall, Powis and Sunnybank - 05",S12000033,Aberdeen City,893,706
S01006663,"Froghall, Powis and Sunnybank - 06",S12000033,Aberdeen City,568,477
S01006664,"Froghall, Powis and Sunnybank - 07",S12000033,Aberdeen City,578,500
S01006665,"Froghall, Powis and Sunnybank - 08",S12000033,Aberdeen City,773,675
S01006666,Seaton - 01,S12000033,Aberdeen City,1001,694
S01006667,Seaton - 02,S12000033,Aberdeen City,750,528
S01006668,Seaton - 03,S12000033,Aberdeen City,902,810
S01006669,Seaton - 04,S12000033,Aberdeen City,965,755
S01006670,Seaton - 05,S12000033,Aberdeen City,857,738
S01006671,Old Aberdeen - 01,S12000033,Aberdeen City,2029,1872
S01006672,Old Aberdeen - 02,S12000033,Aberdeen City,801,573
S01006673,Old Aberdeen - 03,S12000033,Aberdeen City,862,700
S01006674,Old Aberdeen - 04,S12000033,Aberdeen City,913,560
S01006675,Tillydrone - 01,S12000033,Aberdeen City,915,629
S01006676,Tillydrone - 02,S12000033,Aberdeen City,734,473
S01006677,Tillydrone - 03,S12000033,Aberdeen City,724,524
S01006678,Tillydrone - 04,S12000033,Aberdeen City,1690,1135
S01006679,Tillydrone - 05,S12000033,Aberdeen City,614,416
S01006680,Tillydrone - 06,S12000033,Aberdeen City,891,598
S01006681,Woodside - 01,S12000033,Aberdeen City,773,464
S01006682,Woodside - 02,S12000033,Aberdeen City,940,592
S01006683,Woodside - 03,S12000033,Aberdeen City,930,664
S01006684,Woodside - 04,S12000033,Aberdeen City,703,514
S01006685,Woodside - 05,S12000033,Aberdeen City,671,498
S01006686,Hilton - 01,S12000033,Aberdeen City,593,406
S01006687,Hilton - 02,S12000033,Aberdeen City,735,490
S01006688,Hilton - 03,S12000033,Aberdeen City,915,517
S01006689,Hilton - 04,S12000033,Aberdeen City,931,725
S01006690,Hilton - 05,S12000033,Aberdeen City,583,427
S01006691,Hilton - 06,S12000033,Aberdeen City,623,454
S01006692,Hilton - 07,S12000033,Aberdeen City,754,544
S01006693,Hilton - 08,S12000033,Aberdeen City,960,705
S01006694,Stockethill - 01,S12000033,Aberdeen City,896,488
S01006695,Stockethill - 02,S12000033,Aberdeen City,732,439
S01006696,Stockethill - 03,S12000033,Aberdeen City,804,530
S01006697,Stockethill - 04,S12000033,Aberdeen City,917,622
S01006698,Stockethill - 05,S12000033,Aberdeen City,783,519
S01006699,Stockethill - 06,S12000033,Aberdeen City,500,328
S01006700,Stockethill - 07,S12000033,Aberdeen City,833,535
S01006701,Mastrick - 01,S12000033,Aberdeen City,672,457
S01006702,Mastrick - 02,S12000033,Aberdeen City,780,497
S01006703,Mastrick - 03,S12000033,Aberdeen City,658,431
S01006704,Mastrick - 04,S12000033,Aberdeen City,552,364
S01006705,Mastrick - 05,S12000033,Aberdeen City,754,457
S01006706,Mastrick - 06,S12000033,Aberdeen City,608,410
S01006707,Mastrick - 07,S12000033,Aberdeen City,693,443
S01006708,Sheddocksley - 01,S12000033,Aberdeen City,792,498
S01006709,Sheddocksley - 02,S12000033,Aberdeen City,913,580
S01006710,Sheddocksley - 03,S12000033,Aberdeen City,811,481
S01006711,Sheddocksley - 04,S12000033,Aberdeen City,943,558
S01006712,Sheddocksley - 05,S12000033,Aberdeen City,505,307
S01006713,Sheddocksley - 06,S12000033,Aberdeen City,950,642
S01006714,Cummings Park - 01,S12000033,Aberdeen City,731,450
S01006715,Cummings Park - 02,S12000033,Aberdeen City,610,382
S01006716,Cummings Park - 03,S12000033,Aberdeen City,594,393
S01006717,Cummings Park - 04,S12000033,Aberdeen City,967,549
S01006718,Cummings Park - 05,S12000033,Aberdeen City,603,399
S01006719,Northfield - 01,S12000033,Aberdeen City,898,578
S01006720,Northfield - 02,S12000033,Aberdeen City,568,382
S01006721,Northfield - 03,S12000033,Aberdeen City,942,606
S01006722,Northfield - 04,S12000033,Aberdeen City,692,450
S01006723,Northfield - 05,S12000033,Aberdeen City,654,437
S01006724,Northfield - 06,S12000033,Aberdeen City,987,627
S01006725,Northfield - 07,S12000033,Aberdeen City,651,432
S01006726,Heathryfold and Middlefield - 01,S12000033,Aberdeen City,877,616
S01006727,Heathryfold and Middlefield - 02,S12000033,Aberdeen City,1083,659
S01006728,Heathryfold and Middlefield - 03,S12000033,Aberdeen City,765,505
S01006729,Heathryfold and Middlefield - 04,S12000033,Aberdeen City,874,560
S01006730,Heathryfold and Middlefield - 05,S12000033,Aberdeen City,766,516
S01006731,Heathryfold and Middlefield - 06,S12000033,Aberdeen City,534,360
S01006732,Kingswells - 01,S12000033,Aberdeen City,1089,703
S01006733,Kingswells - 02,S12000033,Aberdeen City,955,619
S01006734,Kingswells - 03,S12000033,Aberdeen City,996,649
S01006735,Kingswells - 04,S12000033,Aberdeen City,578,346
S01006736,Kingswells - 05,S12000033,Aberdeen City,1126,775
S01006737,Kingswells - 06,S12000033,Aberdeen City,905,582
S01006738,Bucksburn South - 01,S12000033,Aberdeen City,909,686
S01006739,Bucksburn South - 02,S12000033,Aberdeen City,1226,902
S01006740,Bucksburn South - 03,S12000033,Aberdeen City,766,501
S01006741,Bucksburn South - 04,S12000033,Aberdeen City,659,353
S01006742,Bucksburn South - 05,S12000033,Aberdeen City,460,260
S01006743,Bucksburn North - 01,S12000033,Aberdeen City,728,500
S01006744,Bucksburn North - 02,S12000033,Aberdeen City,638,467
S01006745,Bucksburn North - 03,S12000033,Aberdeen City,847,533
S01006746,Bucksburn North - 04,S12000033,Aberdeen City,832,506
S01006747,Bucksburn North - 05,S12000033,Aberdeen City,1029,605
S01006748,Bucksburn North - 06,S12000033,Aberdeen City,1193,739
S01006749,Dyce - 01,S12000033,Aberdeen City,883,538
S01006750,Dyce - 02,S12000033,Aberdeen City,672,379
S01006751,Dyce - 03,S12000033,Aberdeen City,476,287
S01006752,Dyce - 04,S12000033,Aberdeen City,709,411
S01006753,Dyce - 05,S12000033,Aberdeen City,868,511
S01006754,Dyce - 06,S12000033,Aberdeen City,841,465
S01006755,Dyce - 07,S12000033,Aberdeen City,812,546
S01006756,Danestone - 01,S12000033,Aberdeen City,774,526
S01006757,Danestone - 02,S12000033,Aberdeen City,920,570
S01006758,Danestone - 03,S12000033,Aberdeen City,663,440
S01006759,Danestone - 04,S12000033,Aberdeen City,592,386
S01006760,Danestone - 05,S12000033,Aberdeen City,439,310
S01006761,Danestone - 06,S12000033,Aberdeen City,674,420
S01006762,Oldmachar West - 01,S12000033,Aberdeen City,1061,594
S01006763,Oldmachar West - 02,S12000033,Aberdeen City,840,614
S01006764,Oldmachar West - 03,S12000033,Aberdeen City,708,533
S01006765,Oldmachar West - 04,S12000033,Aberdeen City,536,394
S01006766,Oldmachar West - 05,S12000033,Aberdeen City,593,434
S01006767,Oldmachar West - 06,S12000033,Aberdeen City,654,420
S01006768,Oldmachar East - 01,S12000033,Aberdeen City,620,412
S01006769,Oldmachar East - 02,S12000033,Aberdeen City,922,569
S01006770,Oldmachar East - 03,S12000033,Aberdeen City,593,337
S01006771,Oldmachar East - 04,S12000033,Aberdeen City,435,291
S01006772,Oldmachar East - 05,S12000033,Aberdeen City,852,570
S01006773,Oldmachar East - 06,S12000033,Aberdeen City,875,521
S01006774,Oldmachar East - 07,S12000033,Aberdeen City,603,411
S01006775,Balgownie and Donmouth West - 01,S12000033,Aberdeen City,717,507
S01006776,Balgownie and Donmouth West - 02,S12000033,Aberdeen City,513,272
S01006777,Balgownie and Donmouth West - 03,S12000033,Aberdeen City,650,358
S01006778,Balgownie and Donmouth West - 04,S12000033,Aberdeen City,597,362
S01006779,Balgownie and Donmouth West - 05,S12000033,Aberdeen City,589,373
S01006780,Balgownie and Donmouth West - 06,S12000033,Aberdeen City,566,354
S01006781,Balgownie and Donmouth East - 01,S12000033,Aberdeen City,674,409
S01006782,Balgownie and Donmouth East - 02,S12000033,Aberdeen City,795,563
S01006783,Balgownie and Donmouth East - 03,S12000033,Aberdeen City,613,326
S01006784,Balgownie and Donmouth East - 04,S12000033,Aberdeen City,580,387
S01006785,Denmore - 01,S12000033,Aberdeen City,576,384
S01006786,Denmore - 02,S12000033,Aberdeen City,801,535
S01006787,Denmore - 03,S12000033,Aberdeen City,626,361
S01006788,Denmore - 04,S12000033,Aberdeen City,1537,1086
S01006789,East Cairngorms - 01,S12000034,Aberdeenshire,562,323
S01006790,East Cairngorms - 02,S12000034,Aberdeenshire,894,474
S01006791,East Cairngorms - 03,S12000034,Aberdeenshire,570,359
S01006792,East Cairngorms - 04,S12000034,Aberdeenshire,444,276
S01006793,East Cairngorms - 05,S12000034,Aberdeenshire,600,374
S01006794,Aboyne and South Deeside - 01,S12000034,Aberdeenshire,564,331
S01006795,Aboyne and South Deeside - 02,S12000034,Aberdeenshire,770,432
S01006796,Aboyne and South Deeside - 03,S12000034,Aberdeenshire,890,531
S01006797,Aboyne and South Deeside - 04,S12000034,Aberdeenshire,666,423
S01006798,Aboyne and South Deeside - 05,S12000034,Aberdeenshire,660,403
S01006799,Aboyne and South Deeside - 06,S12000034,Aberdeenshire,907,515
S01006800,Aboyne and South Deeside - 07,S12000034,Aberdeenshire,868,553
S01006801,Mearns and Laurencekirk - 01,S12000034,Aberdeenshire,991,539
S01006802,Mearns and Laurencekirk - 02,S12000034,Aberdeenshire,754,464
S01006803,Mearns and Laurencekirk - 03,S12000034,Aberdeenshire,645,380
S01006804,Mearns and Laurencekirk - 04,S12000034,Aberdeenshire,778,470
S01006805,Mearns and Laurencekirk - 05,S12000034,Aberdeenshire,1153,759
S01006806,Mearns South and Benholm - 01,S12000034,Aberdeenshire,1032,653
S01006807,Mearns South and Benholm - 02,S12000034,Aberdeenshire,588,374
S01006808,Mearns South and Benholm - 03,S12000034,Aberdeenshire,695,428
S01006809,Mearns South and Benholm - 04,S12000034,Aberdeenshire,888,495
S01006810,Mearns South and Benholm - 05,S12000034,Aberdeenshire,876,553
S01006811,Mearns North and Inverbervie - 01,S12000034,Aberdeenshire,1157,729
S01006812,Mearns North and Inverbervie - 02,S12000034,Aberdeenshire,893,574
S01006813,Mearns North and Inverbervie - 03,S12000034,Aberdeenshire,845,548
S01006814,Mearns North and Inverbervie - 04,S12000034,Aberdeenshire,767,469
S01006815,Mearns North and Inverbervie - 05,S12000034,Aberdeenshire,599,357
S01006816,Mearns North and Inverbervie - 06,S12000034,Aberdeenshire,762,450
S01006817,Mearns North and Inverbervie - 07,S12000034,Aberdeenshire,760,501
S01006818,"Fetteresso, Netherley and Catter - 01",S12000034,Aberdeenshire,763,510
S01006819,"Fetteresso, Netherley and Catter - 02",S12000034,Aberdeenshire,895,588
S01006820,"Fetteresso, Netherley and Catter - 03",S12000034,Aberdeenshire,408,250
S01006821,"Fetteresso, Netherley and Catter - 04",S12000034,Aberdeenshire,1389,921
S01006822,"Fetteresso, Netherley and Catter - 05",S12000034,Aberdeenshire,939,629
S01006823,Stonehaven South - 01,S12000034,Aberdeenshire,717,417
S01006824,Stonehaven South - 02,S12000034,Aberdeenshire,798,513
S01006825,Stonehaven South - 03,S12000034,Aberdeenshire,750,450
S01006826,Stonehaven South - 04,S12000034,Aberdeenshire,890,523
S01006827,Stonehaven South - 05,S12000034,Aberdeenshire,907,576
S01006828,Stonehaven South - 06,S12000034,Aberdeenshire,840,559
S01006829,Stonehaven South - 07,S12000034,Aberdeenshire,426,269
S01006830,Stonehaven North - 01,S12000034,Aberdeenshire,757,474
S01006831,Stonehaven North - 02,S12000034,Aberdeenshire,503,291
S01006832,Stonehaven North - 03,S12000034,Aberdeenshire,982,586
S01006833,Stonehaven North - 04,S12000034,Aberdeenshire,472,273
S01006834,Stonehaven North - 05,S12000034,Aberdeenshire,495,368
S01006835,Stonehaven North - 06,S12000034,Aberdeenshire,765,464
S01006836,Stonehaven North - 07,S12000034,Aberdeenshire,535,369
S01006837,Stonehaven North - 08,S12000034,Aberdeenshire,569,352
S01006838,Stonehaven North - 09,S12000034,Aberdeenshire,591,381
S01006839,Newtonhill - 01,S12000034,Aberdeenshire,990,606
S01006840,Newtonhill - 02,S12000034,Aberdeenshire,1108,658
S01006841,Newtonhill - 03,S12000034,Aberdeenshire,872,599
S01006842,Portlethen - 01,S12000034,Aberdeenshire,753,458
S01006843,Portlethen - 02,S12000034,Aberdeenshire,803,550
S01006844,Portlethen - 03,S12000034,Aberdeenshire,597,427
S01006845,Portlethen - 04,S12000034,Aberdeenshire,895,643
S01006846,Portlethen - 05,S12000034,Aberdeenshire,532,364
S01006847,Portlethen - 06,S12000034,Aberdeenshire,714,460
S01006848,Banchory-Devenick and Findon - 01,S12000034,Aberdeenshire,1625,1091
S01006849,Banchory-Devenick and Findon - 02,S12000034,Aberdeenshire,1988,1266
S01006850,Banchory-Devenick and Findon - 03,S12000034,Aberdeenshire,911,623
S01006851,Banchory-Devenick and Findon - 04,S12000034,Aberdeenshire,773,517
S01006852,Banchory-Devenick and Findon - 05,S12000034,Aberdeenshire,582,352
S01006853,"Dunecht, Durris and Drumoak - 01",S12000034,Aberdeenshire,929,608
S01006854,"Dunecht, Durris and Drumoak - 02",S12000034,Aberdeenshire,843,523
S01006855,"Dunecht, Durris and Drumoak - 03",S12000034,Aberdeenshire,796,494
S01006856,"Dunecht, Durris and Drumoak - 04",S12000034,Aberdeenshire,715,462
S01006857,"Dunecht, Durris and Drumoak - 05",S12000034,Aberdeenshire,1214,739
S01006858,"Dunecht, Durris and Drumoak - 06",S12000034,Aberdeenshire,611,397
S01006859,Banchory East - 01,S12000034,Aberdeenshire,981,626
S01006860,Banchory East - 02,S12000034,Aberdeenshire,569,330
S01006861,Banchory East - 03,S12000034,Aberdeenshire,634,396
S01006862,Banchory East - 04,S12000034,Aberdeenshire,675,399
S01006863,Banchory East - 05,S12000034,Aberdeenshire,656,371
S01006864,Banchory East - 06,S12000034,Aberdeenshire,590,378
S01006865,Banchory West - 01,S12000034,Aberdeenshire,971,586
S01006866,Banchory West - 02,S12000034,Aberdeenshire,511,275
S01006867,Banchory West - 03,S12000034,Aberdeenshire,706,381
S01006868,Banchory West - 04,S12000034,Aberdeenshire,821,492
S01006869,Crathes and Torphins - 01,S12000034,Aberdeenshire,498,310
S01006870,Crathes and Torphins - 02,S12000034,Aberdeenshire,476,301
S01006871,Crathes and Torphins - 03,S12000034,Aberdeenshire,725,419
S01006872,Crathes and Torphins - 04,S12000034,Aberdeenshire,918,569
S01006873,Crathes and Torphins - 05,S12000034,Aberdeenshire,1068,525
S01006874,Crathes and Torphins - 06,S12000034,Aberdeenshire,598,393
S01006875,Cromar and Kildrummy - 01,S12000034,Aberdeenshire,710,403
S01006876,Cromar and Kildrummy - 02,S12000034,Aberdeenshire,959,603
S01006877,Cromar and Kildrummy - 03,S12000034,Aberdeenshire,920,591
S01006878,Cromar and Kildrummy - 04,S12000034,Aberdeenshire,741,455
S01006879,Cromar and Kildrummy - 05,S12000034,Aberdeenshire,748,475
S01006880,Howe of Alford - 01,S12000034,Aberdeenshire,700,454
S01006881,Howe of Alford - 02,S12000034,Aberdeenshire,556,352
S01006882,Howe of Alford - 03,S12000034,Aberdeenshire,392,201
S01006883,Howe of Alford - 04,S12000034,Aberdeenshire,466,297
S01006884,Howe of Alford - 05,S12000034,Aberdeenshire,835,497
S01006885,Howe of Alford - 06,S12000034,Aberdeenshire,879,531
S01006886,Howe of Alford - 07,S12000034,Aberdeenshire,895,554
S01006887,Howe of Alford - 08,S12000034,Aberdeenshire,669,430
S01006888,Howe of Alford - 09,S12000034,Aberdeenshire,811,537
S01006889,Kemnay - 01,S12000034,Aberdeenshire,794,499
S01006890,Kemnay - 02,S12000034,Aberdeenshire,618,401
S01006891,Kemnay - 03,S12000034,Aberdeenshire,1032,607
S01006892,Kemnay - 04,S12000034,Aberdeenshire,584,382
S01006893,Kemnay - 05,S12000034,Aberdeenshire,526,329
S01006894,Inverurie North - 01,S12000034,Aberdeenshire,958,536
S01006895,Inverurie North - 02,S12000034,Aberdeenshire,561,378
S01006896,Inverurie North - 03,S12000034,Aberdeenshire,790,500
S01006897,Inverurie North - 04,S12000034,Aberdeenshire,691,454
S01006898,Inverurie North - 05,S12000034,Aberdeenshire,813,517
S01006899,Inverurie North - 06,S12000034,Aberdeenshire,598,407
S01006900,Inverurie North - 07,S12000034,Aberdeenshire,541,357
S01006901,Inverurie North - 08,S12000034,Aberdeenshire,518,334
S01006902,Inverurie South - 01,S12000034,Aberdeenshire,643,425
S01006903,Inverurie South - 02,S12000034,Aberdeenshire,779,508
S01006904,Inverurie South - 03,S12000034,Aberdeenshire,769,437
S01006905,Inverurie South - 04,S12000034,Aberdeenshire,851,498
S01006906,Inverurie South - 05,S12000034,Aberdeenshire,777,433
S01006907,Inverurie South - 06,S12000034,Aberdeenshire,712,498
S01006908,Inverurie South - 07,S12000034,Aberdeenshire,807,521
S01006909,Durno-Chapel of Garioch - 01,S12000034,Aberdeenshire,1218,793
S01006910,Durno-Chapel of Garioch - 02,S12000034,Aberdeenshire,941,624
S01006911,Durno-Chapel of Garioch - 03,S12000034,Aberdeenshire,811,535
